CharacteristicID,CharacteristicName,UnitCode,SampleFraction
AshFreeDryMass,Ash Free Dry Mass,mg,NULL
BOD5,"Biological Oxygen Demand, 5 day",mg/l,NULL
BottomDepth,Bottom depth,m,NULL
BottomSecchi,Bottom secchi,NULL,NULL
CBOD5,"Carbonaceous Biological Oxygen Demand, 5 day",mg/l,NULL
Chla,Chlorophyll-a,ug/l,NULL
ChlaPeri,Chlorophyll-a Periphyton,mg/m2,NULL
ChlaProbe,Chlorophyll-a (probe),ug/l,NULL
Chlb,Chlorophyll-b,ug/l,NULL
COD,Chemical Oxygen Demand,mg/l,NULL
Cond,Conductivity,umho/cm,NULL
DAg,Dissolved Silver,ug/l,Dissolved
DAl,Dissolved Aluminum,ug/l,Dissolved
DAs,Dissolved Arsenic,ug/l,Dissolved
DBa,Dissolved Barium,ug/l,Dissolved
DBe,Dissolved Beryllium,ug/l,Dissolved
DC,Dissolved Carbon,mg/l,Dissolved
DCa,Dissolved Calcium,mg/l,Dissolved
DCd,Dissolved Cadmium,ug/l,Dissolved
DCl,Dissolved Chloride,mg/l,Dissolved
DCo,Dissolved Cobalt,ug/l,Dissolved
DCr,Dissolved Chromium,ug/l,Dissolved
DCu,Dissolved Copper,ug/l,Dissolved
DFe,Dissolved Iron,ug/l,Dissolved
DHg,Dissolved Mercury,ug/l,Dissolved
DIC,Dissolved Inorganic Carbon,mg/l,Dissolved
DissolvedHard,Dissolved Hardness,mg/l,Total
DK,Dissolved Potassium,mg/l,Dissolved
DMg,Dissolved Magnesium,mg/l,Dissolved
DMn,Dissolved Manganese,ug/l,Dissolved
DMo,Dissolved Molybdenum,ug/l,Dissolved
DNa,Dissolved Sodium,mg/l,Dissolved
DNi,Dissolved Nickel,ug/l,Dissolved
DNO3,Dissolved Nitrate Nitrogen,mg/l,Dissolved
DO,Dissolved Oxygen,mg/l,NULL
DO%,Dissolved Oxygen Saturation,%,NULL
DOC,Dissolved Organic Carbon,mg/l,Dissolved
DOP,Dissolved Ortho Phosphorus,ug/l,Dissolved
DP,Dissolved Phosphorus,ug/l,Dissolved
DPb,Dissolved Lead,ug/l,Dissolved
DSb,Dissolved Antimony,ug/l,Dissolved
DSe,Dissolved Selenium,ug/l,Dissolved
DSi,Dissolved Silica,mg/l,Dissolved
DSO4,Dissolved Sulfate,mg/l,Dissolved
DSr,Dissolved Strontium,ug/l,Dissolved
DTl,Dissolved Thallium,ug/l,Dissolved
DU,Dissolved Uranium,ug/L,Dissolved
DV,Dissolved Vanadium,ug/l,Dissolved
DZn,Dissolved Zinc,ug/l,Dissolved
Ecoli,E. Coli Bacteria,#/100ml,NULL
FecalColMFAg,Fecal Coliform using MF Agar,#/100ml,NULL
FecalColMFBr,Fecal Coliform using MF,#/100ml,NULL
FecalStrepMF,Fecal Strep,#/100ml,NULL
GranAlk,Alkalinity measured using Gran Alkalinity,mg/l,NULL
IMAl,Inorganic Monomeric Aluminum,ug/l,Total
